Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Central Network,Clustering Coefficient,Characteristic Path Length,Connectivity Strength,Connectivity Diversity,Central Energy,Max tIC Non-Gaussianity
6,1,"(-10.0, -92.0, -14.0)",0.52,0.014,0.412,0.425,Left,,0.677,0.96,0.635,0.041,12574292869.795645,315.0031305351214
6,2,"(0.0, -40.0, 50.0)",0.112,0.014,0.53,0.235,Left,0.792,0.749,0.978,0.726,0.029,29373822599.36361,315.0031311224228
6,3,"(-42.0, -70.0, -28.0)",0.358,0.034,0.457,0.514,Left,0.598,0.502,0.983,0.484,0.045,11815314135.866974,315.00313133039936
6,4,"(16.0, -82.0, 50.0)",0.068,0.025,0.273,0.07,Left,0.442,0.38,0.971,0.35,0.075,38106290845.20611,315.00313356648047
6,5,"(-50.0, -54.0, 54.0)",0.272,0.016,0.579,0.812,Left,0.459,0.5,0.989,0.489,0.055,28519012957.513924,315.0031330236373
6,6,"(-20.0, 32.0, 56.0)",0.703,0.015,0.888,0.434,Left,0.466,0.491,0.967,0.457,0.086,23599524957.14511,304.40705769428905
6,7,"(-4.0, -44.0, -70.0)",2.124,0.052,0.56,0.229,Right,0.591,0.611,0.97,0.58,0.038,44312560373.88284,315.0029576622358
6,8,"(34.0, -98.0, -2.0)",0.146,0.034,0.35,0.409,Right,0.524,0.36,0.962,0.32,0.119,28527334800.69349,315.00313238890783
6,9,"(38.0, -68.0, 58.0)",0.161,0.021,0.431,0.712,Right,0.361,0.224,0.972,0.195,0.124,20737678354.76496,315.0031338743454
6,10,"(-28.0, 4.0, 66.0)",0.837,0.064,0.449,0.295,Left,0.308,0.187,0.97,0.156,0.156,25627742459.83938,315.0031313876834
6,11,"(12.0, -34.0, -54.0)",0.85,0.099,0.396,0.792,Left,0.617,0.496,0.978,0.473,0.04,37203554198.603714,315.0031077575318
6,12,"(24.0, -38.0, 66.0)",0.091,0.014,0.316,0.289,Right,0.3,0.254,0.963,0.216,0.1,49290166096.26983,315.00313185800127
6,13,"(20.0, -30.0, -40.0)",0.394,0.081,0.305,0.219,Right,0.493,0.336,0.968,0.303,0.054,48660220015.66194,315.0031214189146
6,14,"(-4.0, -48.0, -28.0)",0.072,0.014,0.482,0.197,Left,0.46,0.402,0.973,0.375,0.031,36808795934.50551,315.00313019660734
6,15,"(58.0, -60.0, -22.0)",0.336,0.029,0.858,0.867,Right,0.428,0.313,0.973,0.285,0.065,20997296092.42136,315.003132969272
6,16,"(-20.0, 60.0, -18.0)",0.684,0.025,0.692,0.356,Left,0.481,0.307,0.967,0.273,0.038,34615853454.06735,315.0031292498926
6,17,"(-54.0, 26.0, -6.0)",0.189,0.027,0.829,0.944,Left,0.363,0.266,0.969,0.234,0.049,42803728111.47784,315.00313369612326
6,18,"(-14.0, 60.0, 0.0)",0.342,0.02,0.806,0.212,Right,0.61,0.47,0.982,0.452,0.049,55438869605.64629,315.00305618048674
6,19,"(-54.0, -60.0, -24.0)",0.984,0.016,0.705,0.771,Left,0.322,0.38,0.976,0.355,0.057,3185758790.342332,315.00312991481104
6,20,"(26.0, 46.0, -50.0)",0.718,0.025,0.658,0.237,Right,0.626,0.422,0.976,0.398,0.076,86247103069.99107,312.80917735809044
6,21,"(26.0, 40.0, -40.0)",1.558,0.01,0.707,0.307,Right,0.698,0.528,0.982,0.51,0.11,15210809725.88556,34.98586731764358
6,22,"(-28.0, -14.0, -44.0)",0.453,0.014,0.59,0.304,Right,0.495,0.337,0.982,0.319,0.03,6090974375.027218,315.0031311027734
6,23,"(-54.0, -8.0, 36.0)",0.054,0.039,0.402,0.02,Left,0.529,0.367,0.976,0.342,0.109,70932290239.87997,315.0031323079724
6,24,"(62.0, -48.0, 6.0)",0.085,0.025,0.459,0.163,Right,0.283,0.246,0.975,0.22,0.082,38098725122.30455,315.0031339418841
6,25,"(6.0, -42.0, -12.0)",0.089,0.097,0.464,0.048,Right,0.499,0.351,0.98,0.331,0.04,52304771403.30264,315.00312965007186
6,26,"(-28.0, 56.0, 28.0)",0.127,0.021,0.624,0.218,Right,0.438,0.35,0.976,0.325,0.05,73364771169.86522,315.00313195366664
6,27,"(58.0, 10.0, 10.0)",0.137,0.016,0.54,0.893,Right,0.396,0.312,0.976,0.287,0.055,107170039687.60692,315.00313313295646
6,28,"(20.0, 38.0, -42.0)",0.286,0.014,0.84,0.28,Right,0.593,0.459,0.992,0.452,0.127,4762856859.659263,112.71187667786572
6,29,"(-62.0, -30.0, -14.0)",0.024,0.016,0.638,1.0,Left,0.246,0.244,0.963,0.205,0.068,35346065224.17057,315.0031335408883
6,30,"(28.0, 34.0, -44.0)",1.004,0.011,0.817,0.951,Right,0.441,0.315,0.98,0.295,0.091,8351728851.800924,315.0020883168234
