Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity
2,1,"(-2.0, -50.0, 60.0)",0.0,0.039,-0.174,0.384,Left,0.751,0.68,0.964,1.0,0.643,0.021
2,2,"(-58.0, 10.0, -4.0)",0.0,0.029,-0.081,0.281,Right,0.644,0.555,0.974,1.0,0.528,0.06
2,3,"(0.0, -80.0, 12.0)",0.0,0.039,0.214,0.556,Left,0.545,0.367,0.976,1.0,0.342,0.066
2,4,"(-2.0, -40.0, -66.0)",0.0,0.039,-1.693,0.189,Left,0.684,0.59,0.986,1.0,0.577,0.048
2,5,"(0.0, 38.0, 30.0)",0.0,0.044,-0.162,0.216,Right,0.486,0.338,0.971,1.0,0.308,0.082
2,6,"(-40.0, 48.0, -28.0)",0.0,0.012,0.19,0.017,Left,0.554,0.577,0.974,1.0,0.55,0.027
2,7,"(18.0, -100.0, -22.0)",0.0,0.011,-0.116,0.194,Right,0.752,0.657,0.989,1.0,0.646,0.023
2,8,"(-6.0, -34.0, -62.0)",0.0,0.039,0.711,0.097,Right,0.54,0.4,0.976,1.0,0.375,0.043
2,9,"(-18.0, -54.0, 78.0)",0.0,0.097,-0.27,0.083,Right,0.5,0.515,0.974,1.0,0.488,0.067
2,10,"(28.0, -100.0, -10.0)",0.0,0.034,0.21,0.32,Left,0.468,0.337,0.973,1.0,0.309,0.07
2,11,"(46.0, 48.0, -24.0)",0.0,0.012,0.221,0.036,Left,0.629,0.536,0.978,1.0,0.514,0.027
2,12,"(36.0, -52.0, 52.0)",0.0,0.025,0.199,0.101,Right,0.505,0.357,0.976,1.0,0.333,0.091
2,13,"(-18.0, 20.0, 70.0)",0.0,0.029,0.039,0.537,Left,0.412,0.312,0.971,1.0,0.283,0.099
2,14,"(-40.0, -58.0, 54.0)",0.0,0.039,-0.145,0.077,Right,0.325,0.17,0.967,1.0,0.136,0.088
2,15,"(16.0, -36.0, 66.0)",0.0,0.039,0.269,0.446,Left,0.43,0.238,0.963,1.0,0.199,0.109
2,16,"(30.0, 68.0, -4.0)",0.0,0.039,-0.233,0.474,Right,0.408,0.292,0.962,1.0,0.252,0.093
2,17,"(62.0, -8.0, 22.0)",0.0,0.025,-0.806,0.401,Right,0.56,0.475,0.982,1,0.456,0.049
2,18,"(-66.0, -34.0, -4.0)",0.0,0.014,0.709,0.898,Left,0.307,0.271,0.962,1.0,0.231,0.076
2,19,"(-50.0, -74.0, 12.0)",0.0,0.031,-0.47,0.542,Right,0.489,0.381,0.971,1.0,0.352,0.088
2,20,"(28.0, 42.0, 48.0)",0.0,0.039,-0.266,0.682,Right,0.433,0.347,0.971,1.0,0.317,0.073
2,21,"(42.0, 16.0, -12.0)",0.0,0.039,0.036,0.245,Right,0.521,0.461,0.974,1.0,0.434,0.044
2,22,"(-6.0, -36.0, -14.0)",0.0,0.014,-0.054,0.274,Left,0.577,0.42,0.988,1.0,0.408,0.064
2,23,"(-46.0, -64.0, 42.0)",0.0,0.041,-0.609,0.387,Right,0.315,0.304,0.979,1.0,0.282,0.073
2,24,"(46.0, 20.0, -40.0)",0.0,0.043,-0.861,0.065,Right,0.452,0.413,0.968,1.0,0.38,0.057
2,25,"(20.0, -28.0, -38.0)",0.0,0.069,-0.088,0.195,Left,0.382,0.25,0.982,1.0,0.231,0.044
2,26,"(78.0, -38.0, -8.0)",0.0,0.01,-2.839,0.565,Right,0.484,0.387,0.99,1.0,0.377,0.073
2,27,"(4.0, -14.0, -24.0)",0.0,0.088,0.215,0.305,Left,0.308,0.238,0.981,1.0,0.219,0.047
2,28,"(50.0, -76.0, 8.0)",0.0,0.031,0.094,0.084,Right,0.466,0.379,0.972,1.0,0.35,0.051
2,29,"(-74.0, -14.0, 14.0)",0.0,0.029,1.467,0.969,Left,0.132,0.108,0.969,1.0,0.075,0.085
2,30,"(10.0, -2.0, 10.0)",0.0,0.039,-0.212,0.342,Right,0.342,0.366,0.963,1.0,0.327,0.056
